San Angelo,['Angelo State University']
University,['University of Mississippi']
Medford,['Tufts University']
Los Altos Hills,['Foothill College']
Athens,"['University of Georgia', 'Concord University', 'Athens State University', 'Tennessee Wesleyan College', 'Athens Technical College']"
Union,"['Kean University', 'East Central College']"
Jackson,"['Jackson College', 'Jackson State University', 'Union University', 'Jackson State Community College', 'Millsaps College', 'Belhaven University']"
Tuscaloosa,"['The University of Alabama', 'Shelton State Community College', 'Stillman College']"
Lansing,['Lansing Community College']
Hobbs,['New Mexico Junior College']
Carrollton,['University of West Georgia']
Parkville,['Park University']
Nacogdoches,['Stephen F Austin State University']
Albany,"['Excelsior College', 'Linn-Benton Community College', 'SUNY at Albany', 'Albany State University', 'The College of Saint Rose', 'Darton State College', 'Albany Law School', 'Albany College of Pharmacy and Health Sciences']"
Galveston,['Galveston College']
Seattle,"['North Seattle College', 'University of Washington-Seattle Campus', 'Seattle University', 'Seattle Central College', 'South Seattle College', 'Seattle Pacific University', 'Cornish College of the Arts', 'City University of Seattle']"
Houston,"['Houston Community College', 'Texas Southern University', 'Rice University', 'Houston Graduate School of Theology', 'University of Houston-Clear Lake', 'University of Houston-Downtown', 'University of St Thomas-Houston', 'Houston Baptist University', 'South Texas College of Law', 'Baylor College of Medicine']"
Commerce,['Texas A & M University-Commerce']
College Park,['University of Maryland-College Park']
Clemson,['Clemson University']
Waltham,"['Brandeis University', 'Bentley University']"
Missoula,['The University of Montana']
Bowling Green,"['Western Kentucky University', 'Bowling Green State University-Main Campus']"
Provo,['Brigham Young University-Provo']
Denver,"['University of Denver', 'University of Colorado Denver', 'Regis University', 'Metropolitan State University of Denver', 'Community College of Denver', 'Iliff School of Theology']"
Kaneohe,['Windward Community College']
Adelphi,['University of Maryland-University College']
Santa Rosa,['Santa Rosa Junior College']
Okmulgee,['Oklahoma State University Institute of Technology']
Los Angeles,"['University of Southern California', 'California State University-Los Angeles', 'Loyola Marymount University', 'University of California-Los Angeles', 'Los Angeles Southwest College', 'Occidental College', 'Los Angeles Trade Technical College', 'Los Angeles City College', ""Mount Saint Mary's University"", 'Otis College of Art and Design']"
Levelland,['South Plains College']
Waco,"['McLennan Community College', 'Baylor University']"
San Jose,"['San Jose State University', 'San Jose City College', 'Evergreen Valley College', 'International Technological University']"
Detroit,"['Wayne State University', 'University of Detroit Mercy', 'Marygrove College', 'Wayne County Community College District', 'College for Creative Studies']"
San Antonio,"['The University of Texas at San Antonio', 'Trinity University', 'University of the Incarnate Word', 'Our Lady of the Lake University', ""St Mary's University""]"
Laredo,"['Laredo Community College', 'Texas A & M International University']"
Orlando,"['Valencia College', 'University of Central Florida', 'Adventist University of Health Sciences']"
Bellevue,"['Bellevue College', 'Bellevue University']"
Tyler,"['The University of Texas at Tyler', 'Tyler Junior College', 'Texas College']"
Powell,['Northwest College']
Chicago,"['University of Illinois at Chicago', 'Loyola University Chicago', 'DePaul University', 'University of Chicago', 'Columbia College-Chicago', 'North Park University', 'Northeastern Illinois University', 'National Louis University', 'Institute for Clinical Social Work', 'Illinois Institute of Technology', 'School of the Art Institute of Chicago', 'Roosevelt University', 'Meadville Lombard Theological School', 'McCormick Theological Seminary', 'Saint Xavier University', 'Lutheran School of Theology at Chicago', 'Chicago State University', 'American Academy of Art', 'East-West University', 'Adler University', 'MacCormac College', 'Shimer College', 'VanderCook College of Music', 'Catholic Theological Union at Chicago']"
Wilkes-Barre,"['Wilkes University', ""King's College-Wilkes-Barre""]"
Saratoga Springs,"['Skidmore College', 'SUNY Empire State College']"
Evansville,"['University of Evansville', 'University of Southern Indiana']"
Imperial,['Imperial Valley College']
Charlotte,"['University of North Carolina at Charlotte', 'Central Piedmont Community College', 'Queens University of Charlotte']"
New Orleans,"['Loyola University New Orleans', 'University of New Orleans', 'Tulane University of Louisiana', 'New Orleans Baptist Theological Seminary', 'Xavier University of Louisiana', 'Delgado Community College', 'University of Holy Cross']"
Huntsville,"['Sam Houston State University', 'University of Alabama in Huntsville', 'Oakwood University', 'J F Drake State Community and Technical College']"
Burbank,['Woodbury University']
Denton,"['University of North Texas', ""Texas Woman's University""]"
San Marcos,"['Texas State University', 'California State University-San Marcos']"
Austin,"['The University of Texas at Austin', 'Austin Graduate School of Theology', ""Saint Edward's University"", 'Concordia University-Texas', 'Austin Presbyterian Theological Seminary', 'Riverland Community College']"
Des Plaines,['Oakton Community College']
Akron,['University of Akron Main Campus']
